"population","location"
27466,"Converse"
211,"Cool"
778,"Coolidge"
1911,"Cooper"
42983,"Coppell"
36670,"Copperas Cove"
1731,"Copper Canyon"
22634,"Corinth"
317863,"Corpus Christi"
1477,"Corrigan"
25109,"Corsicana"
181,"Cottonwood"
1403,"Cottonwood Shores"
3718,"Cotulla"
163,"Country Acres"
289,"Coupland"
525,"Cove"
261,"Covington"
155,"Coyanosa"
570,"Coyote Acres"
345,"Coyote Flats"
3860,"Crandall"
3478,"Crane"
277,"Cranfills Gap"
887,"Crawford"
458,"Creedmoor"
1349,"Cresson"
6332,"Crockett"
3417,"Crosby"
1492,"Crosbyton"
3944,"Cross Mountain"
899,"Cross Plains"
1744,"Cross Roads"
362,"Cross Timber"
769,"Crowell"
18070,"Crowley"
6354,"Crystal City"
8128,"Cuero"
33,"Cuevitas"
679,"Cumby"
2207,"Cumings"
116,"Cuney"
557,"Cushing"
1087,"Cut and Shoot"
2522,"Daingerfield"
923,"Daisetta"
8447,"Dalhart"
1304379,"Dallas"
2293,"Dalworthington Gardens"
436,"Damon"
1671,"Danbury"
309,"Darrouzett"
815,"Dawson"
8777,"Dayton"
45,"Dayton Lakes"
488,"Dean"
63,"Deanville"
6538,"Decatur"
3007,"DeCordova"
79715,"Pharr"
4381,"Pilot Point"
485,"Pinebrook"
499,"Pine Forest"
785,"Pine Harbor"
5195,"Pinehurst"
1077,"Pine Island"
888,"Pineland"
1641,"Pinewood Estates"
3128,"Piney Point Village"
4335,"Pittsburg"
625,"Placedo"
1355,"Plains"
20187,"Plainview"
285494,"Plano"
464,"Plantersville"
971,"Pleak"
610,"Pleasant Hill"
10648,"Pleasanton"
357,"Pleasant Valley"
366,"Plum"
1245,"Plum Grove"
745,"Point"
643,"Point Blank"
603,"Point Comfort"
1260,"Point Venture"
2442,"Ponder"
2904,"Port Aransas"
56039,"Port Arthur"
1903,"Porter Heights"
5028,"Port Isabel"
20383,"Portland"
11557,"Port Lavaca"
319,"Port Mansfield"
13692,"Port Neches"
954,"Port O'Connor"
4790,"Post"
683,"Post Oak Bend City"
2795,"Poteet"
65191,"Pflugerville"
1819,"Poth"
3947,"Potosi"
2488,"Pottsboro"
1261,"Powderly"
99,"Powell"
287,"Poynor"
209,"Prado Verde"
446,"Praesel"
8184,"Prairie View"
2455,"Premont"
3264,"Presidio"
2101,"Preston"
150,"Priddy"
5257,"Primera"
17027,"Princeton"
93,"Proctor"
4807,"Progreso"
1745,"Deerwood"
1527,"De Kalb"
2258,"De Leon"
245,"Dell City"
78,"Del Mar Heights"
186,"Delmita"
34673,"Del Rio"
333,"Del Sol"
24479,"Denison"
727,"Dennis"
139869,"Denton"
4470,"Denver City"
550,"Deport"
56145,"DeSoto"
704,"Detroit"
361,"Devers"
4324,"Devine"
571,"Deweyville"
785,"D'Hanis"
4457,"Diboll"
219,"Dickens"
20847,"Dickinson"
3274,"Dilley"
207,"Dime Box"
4171,"Dimmitt"
437,"DISH"
369,"Dodd City"
93,"Dodson"
5618,"Doffing"
71,"Domino"
16797,"Donna"
4061,"Doolittle"
69,"Dorchester"
3054,"Double Oak"
211,"Douglassville"
33,"Draper"
106,"Driftwood"
4650,"Dripping Springs"
680,"Driscoll"
3359,"Dublin"
14501,"Dumas"
34495,"Deer Park"
40706,"Duncanville"
3442,"Eagle Lake"
28130,"Eagle Pass"
3087,"Early"
901,"Earth"
905,"East Alto Bonito"
2218,"East Bernard"
128,"East Columbia"
3609,"Eastland"
899,"East Mountain"
499,"Easton"
824,"East Tawakoni"
737,"Ector"
2732,"Edcouch"
1100,"Eden"
3788,"Edgecliff Village"
71,"Edgewater Estates"
257,"Progreso Lakes"
30174,"Prosper"
7691,"Providence Village"
1,"Pueblo East"
432,"Pueblo Nuevo"
63,"Putnam"
72,"Pyote"
17,"Quail"
1800,"Quail Creek"
2279,"Quanah"
1397,"Queen City"
162,"Quemado"
7,"Quesada"
1414,"Quinlan"
26,"Quintana"
342,"Quitaque"
1942,"Quitman"
93,"Radar Base"
16,"Rafael Pena"
1665,"Ralls"
6,"Ramireno"
66,"Ramirez-Perez"
144,"Ramos"
106,"Ranchette Estates"
214,"Ranchitos del Norte"
189,"Ranchitos East"
167,"Ranchitos Las Lomas"
1415,"Rancho Alegre"
459,"Rancho Banquete"
387,"Rancho Chico"
466,"Ranchos Penitas West"
2838,"Rancho Viejo"
1280,"Randolph AFB"
2300,"Ranger"
255,"Rangerville"
780,"Rankin"
1189,"Ransom Canyon"
197,"Ratamosa"
175,"Ravenna"
10236,"Raymondville"
121,"Realitos"
392,"Redfield"
43,"Redford"
1088,"Redland"
946,"Red Lick"
14222,"Red Oak"
410,"Red Rock"
853,"Redwater"
4003,"Redwood"
2712,"Refugio"
120,"Regino Ramirez"
667,"Reid Hope King"
332,"Reklaw"
129,"Relampago"
13533,"Rendon"
3454,"Reno city (Lamar"
2878,"Reno city (Parker and Tarrant"
1530,"Edgewood"
100243,"Edinburg"
86,"Edmonson"
5987,"Edna"
339,"Edom"
422,"Edroy"
9461,"Eidson Road"
29,"Elbert"
53,"El Brazil"
186,"El Camino Angosto"
12350,"El Campo"
219,"El Castillo"
2540,"El Cenizo"
467,"El Chaparral"
1574,"Eldorado"
2292,"Electra"
9784,"Elgin"
17,"Elias-Fela Solis"
182,"El Indio"
1287,"Elkhart"
3090,"El Lago"
2884,"Elm Creek"
1862,"Elmendorf"
50,"El Mesquite"
803,"Elmo"
136,"E. Lopez"
678815,"El Paso"
226,"El Quiote"
254,"El Rancho Vela"
407,"El Refugio"
5668,"Elsa"
104,"El Socio"
1146,"Emerald Bay"
187,"Emhouse"
1251,"Emory"
1981,"Encantada-Ranchito-El Calaboz"
347,"Enchanted Oaks"
540,"Encinal"
109,"Encino"
20159,"Ennis"
2588,"Escobares"
121,"Estelline"
182,"Eugenio Saenz"
61032,"Euless"
313,"Eureka"
1137,"Eustace"
1246,"Evadale"
455,"Evant"
80,"Evergreen"
6154,"Everman"
7498,"Fabens"
772,"Fabrica"
864,"Fairchilds"
2850,"Fairfield"
9833,"Fair Oaks Ranch"
10372,"Fairview"
92,"Falconaire"
18,"Falcon Heights"
1630,"Rhome"
1075,"Ricardo"
1203,"Rice"
733,"Rice Tracts"
184,"Richards"
119469,"Richardson"
255,"Richland"
8621,"Richland Hills"
244,"Richland Springs"
11627,"Richmond"
4781,"Richwood"
1062,"Riesel"
146,"Ringgold"
4450,"Rio Bravo"
15317,"Rio Grande City"
2021,"Rio Hondo"
1008,"Rio Vista"
756,"Rising Star"
62,"Rivereno"
7646,"River Oaks"
522,"Riverside"
609,"Riviera"
766,"Road Runner"
9665,"Roanoke"
217,"Roaring Springs"
1027,"Robert Lee"
12443,"Robinson"
10143,"Robstown"
591,"Roby"
169,"Rochelle"
248,"Rochester"
5323,"Rockdale"
228,"Rock Island"
10070,"Rockport"
874,"Rocksprings"
47251,"Rockwall"
1811,"Rockwell Place"
78,"Rocky Mound"
1113,"Rogers"
1467,"Rollingwood"
11561,"Roma"
410,"Retreat"
1781,"Roman Forest"
430,"Ropesville"
1473,"Rosanky"
1271,"Roscoe"
1296,"Rosebud"
326,"Rose City"
325,"Rose Hill Acres"
38282,"Rosenberg"
1362,"Rosharon"
3501,"Rosita"
245,"Ross"
301,"Rosser"
1332,"Rotan"
101,"Round Mountain"
119468,"Round Rock"
87,"Round Top"
305,"Rowena"
962,"Falcon Lake Estates"
523,"Falcon Mesa"
3,"Falcon Village"
4609,"Falfurrias"
514,"Falls City"
60,"Falman"
2363,"Fannett"
35991,"Farmers Branch"
3612,"Farmersville"
95,"Farnsworth"
1425,"Farwell"
17958,"Fate"
246,"Fayetteville"
25,"Fernando Salinas"
2788,"Ferris"
2284,"Fifth Street"
157,"Flat"
1308,"Flatonia"
101,"Flor del Rio"
1171,"Florence"
7203,"Floresville"
117,"Flowella"
75956,"Flower Mound"
2675,"Floydada"
78,"Fluvanna"
373,"Follett"
1329,"Forest Heights"
13955,"Forest Hill"
23455,"Forney"
225,"Forsan"
11260,"Fort Bliss"
1215,"Fort Clark Springs"
1024,"Fort Davis"
1052,"Fort Hancock"
28295,"Fort Hood"
8466,"Fort Stockton"
918915,"Fort Worth"
12103,"Four Corners"
10,"Four Points"
73,"Fowlerton"
1614,"Franklin"
1126,"Frankston"
10875,"Fredericksburg"
10696,"Freeport"
2461,"Freer"
24486,"Fresno"
41213,"Friendswood"
4171,"Friona"
200509,"Frisco"
1859,"Fritch"
172,"Fronton"
174,"Fronton Ranchettes"
620,"Frost"
476,"Fruitvale"
16856,"Fulshear"
1523,"Fulton"
249,"Gail"
17394,"Gainesville"
548,"Roxton"
13508,"Royse City"
561,"Rule"
1546,"Runaway Bay"
892,"Runge"
5285,"Rusk"
1364,"Sabinal"
27103,"Sachse"
336,"Sadler"
23890,"Saginaw"
2227,"St. Hedwig"
881,"St. Jo"
992,"St. Paul"
2394,"Salado"
6496,"Salida del Sol Estates"
176,"Salineño"
117,"Salineño North"
123,"Sammy Martinez"
24,"Samnorwood"
1273,"Sam Rayburn"
99893,"San Angelo"
1434625,"San Antonio"
1920,"San Augustine"
24861,"San Benito"
3087,"San Carlos"
187,"San Carlos I"
220,"San Carlos II"
337,"Sanctuary"
664,"Sanderson"
326,"Sandia"
3748,"San Diego"
37,"Sandoval"
878,"Sand Springs"
342,"Sandy Hollow-Escondidas"
5075,"Sandy Oaks"
207,"Sandy Point"
10116,"San Elizario"
691,"San Felipe"
49,"San Fernando"
132,"Sanford"
62535,"Rowlett"
8839,"Sanger"
187,"San Isidro"
35294,"San Juan"
522,"San Leanna"
6135,"San Leon"
67553,"San Marcos"
384,"San Patricio"
442,"San Pedro"
538,"San Perlita"
3117,"San Saba"
5454,"Sansom Park"
1014,"Santa Anna"
778,"Santa Clara"
74,"Santa Cruz"
10740,"Galena Park"
321,"Gallatin"
53695,"Galveston"
1975,"Ganado"
440,"Garceno"
43,"Garciasville"
334,"Garden City"
2020,"Gardendale"
4186,"Garden Ridge"
1825,"Garfield"
246018,"Garland"
397,"Garner"
829,"Garrett"
789,"Garrison"
510,"Garwood"
335,"Gary City"
651,"Garza-Salinas II"
16135,"Gatesville"
275,"Gause"
67176,"Georgetown"
2171,"George West"
1097,"Geronimo"
1250,"Gholson"
4969,"Giddings"
4843,"Gilmer"
53,"Girard"
6134,"Gladewater"
60,"Glazier"
15819,"Glenn Heights"
2659,"Glen Rose"
741,"Glidden"
1450,"Godley"
236,"Goldsmith"
1738,"Goldthwaite"
1620,"Goliad"
618,"Golinda"
7165,"Gonzales"
178,"Goodlow"
248,"Goodrich"
470,"Gordon"
158,"Goree"
976,"Gorman"
669,"Graford"
8732,"Graham"
10958,"Granbury"
340,"Grandfalls"
196100,"Grand Prairie"
3107,"Grand Saline"
1879,"Grandview"
1183,"Granger"
754,"Grangerland"
5129,"Granite Shoals"
283,"Granjeno"
3594,"Grape Creek"
1465,"Grapeland"
50631,"Grapevine"
325,"Grays Prairie"
655,"Green Valley Farms"
28164,"Greenville"
651,"Santa Maria"
86,"Santa Monica"
3152,"Santa Rita Ranch"
2450,"Santa Rosa"
24,"Santel"
347,"Santo"
504,"San Ygnacio"
1212,"Sargent"
205,"Sarita"
6529,"Savannah"
712,"Savoy"
10458,"Scenic Oaks"
42002,"Schertz"
2633,"Schulenburg"
3758,"Scissors"
413,"Scotland"
334,"Scottsville"
688,"Scurry"
13618,"Seabrook"
995,"Seadrift"
18446,"Seagoville"
2153,"Seagraves"
6839,"Sealy"
1684,"Sebastian"
572,"Seco Mines"
29433,"Seguin"
1450,"Seis Lagos"
10952,"Selma"
6988,"Seminole"
2098,"Serenada"
1603,"Seth Ward"
68,"Seven Oaks"
1370,"Seven Points"
2575,"Seymour"
2400,"Shadybrook"
4822,"Shady Hollow"
2764,"Shady Shores"
2964,"Shallowater"
1789,"Shamrock"
12735,"Santa Fe"
3524,"Shavano Park"
174,"Sheffield"
100,"Shelbyville"
2361,"Sheldon"
3499,"Shenandoah"
2105,"Shepherd"
520,"Sheridan"
43645,"Sherman"
1165,"Sherwood Shores"
2127,"Shiner"
201,"Shiro"
1566,"Shoreacres"
20204,"Sienna"
315,"Sierra Blanca"
1866,"Siesta Acres"
1450,"Siesta Shores"
6935,"Silsbee"
629,"Silverton"
1740,"Gregory"
492,"Grey Forest"
3631,"Groesbeck"
552,"Groom"
17335,"Groves"
918,"Groveton"
1130,"Gruver"
60,"Guadalupe Guerra"
3,"Guerra"
6190,"Gun Barrel City"
2060,"Gunter"
392,"Gustine"
151,"Guthrie"
69,"Gutierrez"
2973,"Hackberry"
2062,"Hale Center"
2731,"Hallettsville"
419,"Hallsburg"
4277,"Hallsville"
46073,"Haltom City"
2895,"Hamilton"
1831,"Hamlin"
962,"Hamshire"
602,"Happy"
768,"Hardin"
21,"Harding Gill Tract"
800,"Hargill"
33097,"Harker Heights"
71829,"Harlingen"
1332,"Harper"
87,"Harrold"
869,"Hart"
382,"Hartley"
120,"Harwood"
3089,"Haskell"
1952,"Haslet"
361,"Havana"
452,"Hawk Cove"
1274,"Hawkins"
545,"Hawley"
227,"Hays"
11,"H. Cuellar Estates"
4544,"Hearne"
8509,"Heartland"
9769,"Heath"
4101,"Hebbronville"
803,"Hebron"
275,"Hedley"
2370,"Hedwig Village"
1507,"Heidelberg"
9030,"Helotes"
1029,"Hemphill"
5430,"Hempstead"
13271,"Henderson"
3111,"Henrietta"
14972,"Hereford"
383,"Hermleigh"
16026,"Hewitt"
4718,"Hickory Creek"
647,"Simonton"
5504,"Sinton"
394,"Skellytown"
863,"Skidmore"
5858,"Slaton"
475,"Smiley"
3922,"Smithville"
441,"Smyer"
506,"Snook"
11438,"Snyder"
34306,"Socorro"
722,"Solis"
1756,"Somerset"
1312,"Somerville"
2502,"Sonora"
7679,"Sonterra"
1773,"Sour Lake"
3414,"South Alamo"
136,"South Fork Estates"
207,"South Frydek"
16153,"South Houston"
31265,"Southlake"
347,"South La Paloma"
978,"Southmayd"
411,"South Mountain"
