"zcta","City","population","ZIP_CODE","PO_NAME","STATE"
"75218","Dallas",23136,"75393","Dallas","TX"
"75219","Dallas",27885,"75219","Dallas","TX"
"75220","Dallas",39627,"75220","Dallas","TX"
"75220","Dallas",39627,"75378","Dallas","TX"
"75220","Dallas",39627,"75354","Dallas","TX"
"75223","Dallas",13898,"75223","Dallas","TX"
"75224","Dallas",33766,"75224","Dallas","TX"
"75224","Dallas",33766,"75376","Dallas","TX"
"75225","Dallas",22635,"75225","Dallas","TX"
"75226","Dallas",4535,"75226","Dallas","TX"
"75227","Dallas",59103,"75227","Dallas","TX"
"75228","Dallas",68219,"75228","Dallas","TX"
"75228","Dallas",68219,"75357","Dallas","TX"
"75229","Dallas",33168,"75229","Dallas","TX"
"75230","Dallas",27810,"75230","Dallas","TX"
"75230","Dallas",27810,"75367","Dallas","TX"
"75231","Dallas",40754,"75382","Dallas","TX"
"75231","Dallas",40754,"75231","Dallas","TX"
"75232","Dallas",30061,"75232","Dallas","TX"
"75233","Dallas",15104,"75233","Dallas","TX"
"75234","Dallas",33216,"75381","Dallas","TX"
"75234","Dallas",33216,"75234","Dallas","TX"
"75235","Dallas",19153,"75235","Dallas","TX"
"75235","Dallas",19153,"75358","Dallas","TX"
"75236","Dallas",18385,"75236","Dallas","TX"
"75237","Dallas",19057,"75237","Dallas","TX"
"75237","Dallas",19057,"75301","Dallas","TX"
"75238","Dallas",32801,"75355","Dallas","TX"
"75238","Dallas",32801,"75238","Dallas","TX"
"75240","Dallas",25839,"75240","Dallas","TX"
"75240","Dallas",25839,"75380","Dallas","TX"
"75241","Dallas",32944,"75241","Dallas","TX"
"75243","Dallas",62273,"75389","Dallas","TX"
"75243","Dallas",62273,"75243","Dallas","TX"
"75243","Dallas",62273,"75374","Dallas","TX"
"75244","Dallas",12576,"75244","Dallas","TX"
"75246","Dallas",2458,"75246","Dallas","TX"
"75247","Dallas",830,"75247","Dallas","TX"
"75247","Dallas",830,"75356","Dallas","TX"
"75247","Dallas",830,"75342","Dallas","TX"
"75248","Dallas",38210,"75248","Dallas","TX"
"75249","Dallas",15291,"75249","Dallas","TX"
"75251","Dallas",3840,"75251","Dallas","TX"
"75252","Dallas",27458,"75252","Dallas","TX"
"75252","Dallas",27458,"75379","Dallas","TX"
"75253","Dallas",25867,"75336","Dallas","TX"
"75253","Dallas",25867,"75253","Dallas","TX"
"75254","Dallas",24664,"75254","Dallas","TX"
"75254","Dallas",24664,"75391","Dallas","TX"
"75261","Dallas",1,"75261","Dallas","TX"
"75287","Dallas",53181,"75370","Dallas","TX"
"75287","Dallas",53181,"75287","Dallas","TX"
"75401","Greenville",19550,"75403","Greenville","TX"
"75401","Greenville",19550,"75401","Greenville","TX"
"75402","Greenville",18983,"75402","Greenville","TX"
"75402","Greenville",18983,"75404","Greenville","TX"
"75407","Princeton",25738,"75407","Princeton","TX"
"75409","Anna",21292,"75485","Westminster","TX"
"75409","Anna",21292,"75409","Anna","TX"
"75410","Alba",5073,"75410","Alba","TX"
"75411","Arthur City",1279,"75411","Arthur City","TX"
"75411","Arthur City",1279,"75425","Chicota","TX"
"75412","Bagwell",604,"75412","Bagwell","TX"
"75413","Bailey",179,"75413","Bailey","TX"
"75414","Bells",3507,"75414","Bells","TX"
"75415","Ben Franklin",212,"75415","Ben Franklin","TX"
"75416","Blossom",2848,"75416","Blossom","TX"
"75417","Bogata",2361,"75417","Bogata","TX"
"75418","Bonham",14775,"75418","Bonham","TX"
"75420","Brashear",1206,"75420","Brashear","TX"
"75421","Brookston",988,"75421","Brookston","TX"
"75422","Campbell",2902,"75422","Campbell","TX"
"75423","Celeste",3089,"75423","Celeste","TX"
"75423","Celeste",3089,"75458","Merit","TX"
"75424","Blue Ridge",4517,"75424","Blue Ridge","TX"
"75426","Clarksville",4717,"75426","Clarksville","TX"
"75428","Commerce",11192,"75428","Commerce","TX"
"75429","Commerce",9,"75429","Commerce","TX"
"75431","Como",2101,"75431","Como","TX"
"75432","Cooper",3361,"75432","Cooper","TX"
"75433","Cumby",2815,"75433","Cumby","TX"
"75434","Cunningham",81,"75434","Cunningham","TX"
"75435","Deport",994,"75435","Deport","TX"
"75436","Detroit",2130,"75436","Detroit","TX"
"75437","Dike",1199,"75437","Dike","TX"
"75438","Dodd City",963,"75438","Dodd City","TX"
"75439","Ector",923,"75439","Ector","TX"
"75440","Emory",6894,"75440","Emory","TX"
"75441","Enloe",113,"75441","Enloe","TX"
"75442","Farmersville",11241,"75442","Farmersville","TX"
"75446","Honey Grove",3355,"75446","Honey Grove","TX"
"75447","Ivanhoe",1161,"75447","Ivanhoe","TX"
"75448","Klondike",679,"75448","Klondike","TX"
"75449","Ladonia",1116,"75449","Ladonia","TX"
"75450","Lake Creek",293,"75450","Lake Creek","TX"
"75451","Leesburg",1256,"75451","Leesburg","TX"
"75452","Leonard",4802,"75452","Leonard","TX"
"75453","Lone Oak",3737,"75453","Lone Oak","TX"
"75454","Melissa",16252,"75454","Melissa","TX"
"75455","Mount Pleasant",27305,"75456","Mount Pleasant","TX"
"75455","Mount Pleasant",27305,"75455","Mount Pleasant","TX"
"75457","Mount Vernon",5991,"75457","Mount Vernon","TX"
"75459","Howe",5556,"75459","Howe","TX"
"75460","Paris",22925,"75461","Paris","TX"
"75460","Paris",22925,"75460","Paris","TX"
"75462","Paris",12016,"75462","Paris","TX"
"75468","Pattonville",928,"75468","Pattonville","TX"
"75469","Pecan Gap",394,"75469","Pecan Gap","TX"
"75470","Petty",229,"75470","Petty","TX"
"75471","Pickton",1243,"75471","Pickton","TX"
"75472","Point",3849,"75472","Point","TX"
"75473","Powderly",3660,"75473","Powderly","TX"
"75474","Quinlan",16010,"75474","Quinlan","TX"
"75475","Randolph",150,"75475","Randolph","TX"
"75476","Ravenna",1214,"75476","Ravenna","TX"
"75477","Roxton",854,"75477","Roxton","TX"
"75478","Saltillo",1006,"75478","Saltillo","TX"
"75479","Savoy",1861,"75479","Savoy","TX"
"75480","Scroggins",1582,"75480","Scroggins","TX"
"75481","Sulphur Bluff",389,"75481","Sulphur Bluff","TX"
"75482","Sulphur Springs",25743,"75482","Sulphur Springs","TX"
"75482","Sulphur Springs",25743,"75483","Sulphur Springs","TX"
"75486","Sumner",2698,"75486","Sumner","TX"
"75487","Talco",1511,"75487","Talco","TX"
"75488","Telephone",1144,"75488","Telephone","TX"
"75489","Tom Bean",1028,"75489","Tom Bean","TX"
"75490","Trenton",2809,"75490","Trenton","TX"
"75491","Whitewright",5148,"75491","Whitewright","TX"
"75492","Windom",562,"75492","Windom","TX"
"75493","Winfield",497,"75493","Winfield","TX"
"75494","Winnsboro",11827,"75494","Winnsboro","TX"
"75495","Van Alstyne",9061,"75495","Van Alstyne","TX"
"75496","Wolfe City",3438,"75496","Wolfe City","TX"
"75496","Wolfe City",3438,"75443","Gober","TX"
"75497","Yantis",3679,"75497","Yantis","TX"
"75501","Texarkana",36423,"75507","Texarkana","TX"
"75501","Texarkana",36423,"75599","Texarkana","TX"
"75501","Texarkana",36423,"75504","Texarkana","TX"
"75501","Texarkana",36423,"75505","Texarkana","TX"
"75501","Texarkana",36423,"75501","Texarkana","TX"
"75503","Texarkana",25547,"75503","Texarkana","TX"
"75550","Annona",602,"75550","Annona","TX"
"75551","Atlanta",10372,"75551","Atlanta","TX"
"75554","Avery",1530,"75554","Avery","TX"
"75555","Bivins",1719,"75555","Bivins","TX"
"75556","Bloomburg",1127,"75556","Bloomburg","TX"
"75558","Cookville",1518,"75558","Cookville","TX"
"75559","De Kalb",5472,"75559","De Kalb","TX"
"75560","Douglassville",920,"75560","Douglassville","TX"
"75561","Hooks",4875,"75561","Hooks","TX"
"75562","Kildare",116,"75562","Kildare","TX"
"75563","Linden",3794,"75563","Linden","TX"
"75564","Lodi",9,"75564","Lodi","TX"
"75565","Mc Leod",106,"75565","Mc Leod","TX"
"75566","Marietta",676,"75566","Marietta","TX"
"75567","Maud",3770,"75567","Maud","TX"
"75568","Naples",2939,"75568","Naples","TX"
"75569","Nash",3338,"75569","Nash","TX"
"75570","New Boston",11315,"75570","New Boston","TX"
"75571","Omaha",2607,"75571","Omaha","TX"
"75572","Queen City",3387,"75572","Queen City","TX"
"75573","Redwater",275,"75573","Redwater","TX"
"75574","Simms",1695,"75574","Simms","TX"
"75601","Longview",15813,"75601","Longview","TX"
"75601","Longview",15813,"75606","Longview","TX"
"75602","Longview",22041,"75602","Longview","TX"
"75602","Longview",22041,"75607","Longview","TX"
"75603","Longview",5784,"75603","Longview","TX"
"75604","Longview",30752,"75604","Longview","TX"
"75605","Longview",32909,"75605","Longview","TX"
"75605","Longview",32909,"75660","Judson","TX"
"75605","Longview",32909,"75615","Longview","TX"
"75605","Longview",32909,"75608","Longview","TX"
"75630","Avinger",2650,"75630","Avinger","TX"
"75631","Beckville",2461,"75631","Beckville","TX"
"75633","Carthage",13558,"75633","Carthage","TX"
"75633","Carthage",13558,"75637","Clayton","TX"
"75638","Daingerfield",5434,"75638","Daingerfield","TX"
"75638","Daingerfield",5434,"75636","Cason","TX"
"75639","De Berry",2716,"75685","Panola","TX"
"75639","De Berry",2716,"75639","De Berry","TX"
"75640","Diana",5438,"75640","Diana","TX"
"75641","Easton",139,"75641","Easton","TX"
"75642","Elysian Fields",194,"75642","Elysian Fields","TX"
"75643","Gary",2046,"75643","Gary","TX"
"75644","Gilmer",11720,"75644","Gilmer","TX"
"75645","Gilmer",10724,"75645","Gilmer","TX"
"75647","Gladewater",13485,"75647","Gladewater","TX"
"75650","Hallsville",10139,"75650","Hallsville","TX"
"75651","Harleton",2075,"75651","Harleton","TX"
"75652","Henderson",15956,"75652","Henderson","TX"
"75654","Henderson",12045,"75653","Henderson","TX"
"75654","Henderson",12045,"75654","Henderson","TX"
"75656","Hughes Springs",4558,"75656","Hughes Springs","TX"
"75657","Jefferson",7923,"75657","Jefferson","TX"
"75658","Joinerville",210,"75658","Joinerville","TX"
"75659","Jonesville",59,"75659","Jonesville","TX"
"75661","Karnack",2381,"75661","Karnack","TX"
"75662","Kilgore",25002,"75663","Kilgore","TX"
"75662","Kilgore",25002,"75662","Kilgore","TX"
"75662","Kilgore",25002,"75666","Laird Hill","TX"
"75667","Laneville",1227,"75667","Laneville","TX"
"75668","Lone Star",1672,"75668","Lone Star","TX"
"75669","Long Branch",589,"75669","Long Branch","TX"
"75670","Marshall",16935,"75670","Marshall","TX"
